strategy,year,days,pnl,ret,sharpe,max_dd,worst_day,best_day,active_frac
core_final_or_dual_final,2015,244,41758.0,0.0139,1.565,-0.0077,-4942.0,12436.0,0.594
core_final_or_dual_final,2016,244,-17572.0,-0.0059,-0.671,-0.0096,-12015.0,6360.0,0.643
core_final_or_dual_final,2017,244,14902.0,0.005,0.545,-0.0067,-7594.0,10365.0,0.602
core_final_or_dual_final,2018,243,31119.0,0.0104,1.113,-0.0092,-5133.0,10947.0,0.798
core_final_or_dual_final,2019,244,42120.0,0.014,1.799,-0.0045,-5122.0,8793.0,0.594
core_final_or_dual_final,2020,242,76343.0,0.0254,2.117,-0.0058,-5910.0,14535.0,0.537
core_final_or_dual_final,2021,243,83237.0,0.0277,1.963,-0.0059,-10161.0,12313.0,0.638
core_final_or_dual_final,2022,242,46703.0,0.0156,0.963,-0.0116,-15366.0,22759.0,0.645
core_final_or_dual_final,2023,241,43034.0,0.0143,1.068,-0.0105,-9258.0,12170.0,0.83
core_final_or_dual_final,2024,241,23659.3,0.0079,0.655,-0.0102,-15397.3,14028.8,0.643
core_final_or_dual_final,2025,243,28649.7,0.0095,0.905,-0.0038,-10557.3,13271.6,0.704
core_final_or_dual_final,2026,168,41431.0,0.0138,2.101,-0.0044,-5714.0,7711.0,0.464
news_sat,ALL,3933,134090.9,0.0447,0.715,-0.0065,-9675.0,13292.5,0.066
news_sat,2010,124,0.0,0.0,,0.0,0.0,0.0,0.0
news_sat,2011,244,0.0,0.0,,0.0,0.0,0.0,0.0
news_sat,2012,243,0.0,0.0,,0.0,0.0,0.0,0.0
news_sat,2013,238,0.0,0.0,,0.0,0.0,0.0,0.0
news_sat,2014,245,0.0,0.0,,0.0,0.0,0.0,0.0
news_sat,2015,244,0.0,0.0,,0.0,0.0,0.0,0.0
news_sat,2016,244,0.0,0.0,,0.0,0.0,0.0,0.0
news_sat,2017,244,0.0,0.0,,0.0,0.0,0.0,0.0
news_sat,2018,243,0.0,0.0,,0.0,0.0,0.0,0.0
news_sat,2019,244,0.0,0.0,,0.0,0.0,0.0,0.0
news_sat,2020,242,0.0,0.0,,0.0,0.0,0.0,0.0
news_sat,2021,243,0.0,0.0,,0.0,0.0,0.0,0.0
news_sat,2022,242,0.0,0.0,,0.0,0.0,0.0,0.0
news_sat,2023,241,0.0,0.0,,0.0,0.0,0.0,0.0
news_sat,2024,241,46575.8,0.0155,2.129,-0.0044,-8600.0,5825.0,0.332
news_sat,2025,243,79289.0,0.0264,1.977,-0.0065,-9675.0,13292.5,0.679
news_sat,2026,168,8226.1,0.0027,1.278,-0.0009,-2762.5,4162.5,0.077
dual_or_final,ALL,3933,780673.9,0.2602,1.424,-0.0133,-15366.0,22759.0,0.654
dual_or_final,2010,124,73556.0,0.0245,2.927,-0.0065,-6573.0,13315.0,1.0
dual_or_final,2011,244,20594.0,0.0069,0.878,-0.0092,-5511.0,5638.0,0.918
dual_or_final,2012,243,14212.0,0.0047,0.658,-0.0032,-7480.0,9293.0,0.498
dual_or_final,2013,238,55154.0,0.0184,3.033,-0.0021,-3389.0,7106.0,0.748
dual_or_final,2014,245,27683.0,0.0092,1.48,-0.003,-6404.0,6965.0,0.38
dual_or_final,2015,244,41758.0,0.0139,1.565,-0.0077,-4942.0,12436.0,0.594
dual_or_final,2016,244,-17572.0,-0.0059,-0.671,-0.0096,-12015.0,6360.0,0.643
dual_or_final,2017,244,14902.0,0.005,0.545,-0.0067,-7594.0,10365.0,0.602
dual_or_final,2018,243,31119.0,0.0104,1.113,-0.0092,-5133.0,10947.0,0.798
dual_or_final,2019,244,42120.0,0.014,1.799,-0.0045,-5122.0,8793.0,0.594
dual_or_final,2020,242,76343.0,0.0254,2.117,-0.0058,-5910.0,14535.0,0.537
dual_or_final,2021,243,83237.0,0.0277,1.963,-0.0059,-10161.0,12313.0,0.638
dual_or_final,2022,242,46703.0,0.0156,0.963,-0.0116,-15366.0,22759.0,0.645
dual_or_final,2023,241,43034.0,0.0143,1.068,-0.0105,-9258.0,12170.0,0.83
dual_or_final,2024,241,70235.1,0.0234,1.77,-0.0072,-10747.3,11803.8,0.643
dual_or_final,2025,243,107938.7,0.036,2.056,-0.0096,-10922.1,14277.9,0.704
dual_or_final,2026,168,49657.1,0.0166,2.218,-0.0044,-6035.5,10216.2,0.464
macro_derated_gated,ALL,3933,338360.3,0.1128,1.005,-0.0104,-16934.8,27070.5,0.289
macro_derated_gated,2010,124,0.0,0.0,,0.0,0.0,0.0,0.0
macro_derated_gated,2011,244,0.0,0.0,,0.0,0.0,0.0,0.0
macro_derated_gated,2012,243,0.0,0.0,,0.0,0.0,0.0,0.0
macro_derated_gated,2013,238,0.0,0.0,,0.0,0.0,0.0,0.0
macro_derated_gated,2014,245,0.0,0.0,,0.0,0.0,0.0,0.0
macro_derated_gated,2015,244,0.0,0.0,,0.0,0.0,0.0,0.0
macro_derated_gated,2016,244,0.0,0.0,,0.0,0.0,0.0,0.0
macro_derated_gated,2017,244,0.0,0.0,,0.0,0.0,0.0,0.0
macro_derated_gated,2018,243,-691.8,-0.0002,-0.071,-0.0044,-2658.5,3868.0,0.646
macro_derated_gated,2019,244,30986.8,0.0103,1.975,-0.0038,-4095.3,4611.3,0.586
macro_derated_gated,2020,242,22755.4,0.0076,1.095,-0.0056,-5773.9,6181.6,0.38
macro_derated_gated,2021,243,-4994.0,-0.0017,-0.216,-0.007,-7991.5,5210.7,0.72
macro_derated_gated,2022,242,25458.2,0.0085,1.266,-0.0058,-4520.9,6008.4,0.715
macro_derated_gated,2023,241,26306.4,0.0088,1.379,-0.0039,-5128.8,8503.3,0.49
macro_derated_gated,2024,241,93233.2,0.0311,2.334,-0.0104,-12105.2,9063.5,0.755
macro_derated_gated,2025,243,129232.6,0.0431,3.212,-0.0017,-3442.0,27070.5,0.255
macro_derated_gated,2026,168,16073.6,0.0054,0.477,-0.0069,-16934.8,16198.7,0.196
weather_v3_proxy,ALL,3933,309896.6,0.1033,1.049,-0.0097,-12716.1,12367.2,0.355
weather_v3_proxy,2010,124,0.0,0.0,,0.0,0.0,0.0,0.0
weather_v3_proxy,2011,244,0.0,0.0,,0.0,0.0,0.0,0.0
weather_v3_proxy,2012,243,0.0,0.0,,0.0,0.0,0.0,0.0
weather_v3_proxy,2013,238,0.0,0.0,,0.0,0.0,0.0,0.0
weather_v3_proxy,2014,245,0.0,0.0,,0.0,0.0,0.0,0.0
weather_v3_proxy,2015,244,0.0,0.0,,0.0,0.0,0.0,0.0
weather_v3_proxy,2016,244,0.0,0.0,,0.0,0.0,0.0,0.0
weather_v3_proxy,2017,244,0.0,0.0,,0.0,0.0,0.0,0.0
weather_v3_proxy,2018,243,0.0,0.0,,0.0,0.0,0.0,0.0
weather_v3_proxy,2019,244,0.0,0.0,,0.0,0.0,0.0,0.0
weather_v3_proxy,2020,242,31912.3,0.0106,1.397,-0.0042,-5562.1,5397.9,0.814
weather_v3_proxy,2021,243,50637.3,0.0169,1.499,-0.0084,-12716.1,10828.2,0.823
weather_v3_proxy,2022,242,65528.6,0.0218,1.892,-0.0046,-11140.0,12367.2,0.798
weather_v3_proxy,2023,241,8327.5,0.0028,0.294,-0.0097,-7279.6,6703.6,0.884
weather_v3_proxy,2024,241,107828.7,0.0359,3.523,-0.0052,-9349.5,6861.7,0.975
weather_v3_proxy,2025,243,8960.4,0.003,0.418,-0.0073,-6004.2,6272.0,0.86
weather_v3_proxy,2026,168,36701.7,0.0122,2.668,-0.004,-3331.3,4754.0,0.893
era_2010_2017_final_only,ALL,1826,230287.0,0.0768,1.177,-0.0133,-12015.0,13315.0,0.651
era_2018_to_dual_pre_news,ALL,1499,603895.2,0.2013,2.008,-0.0157,-13508.9,28634.6,0.957
era_dual_window,ALL,608,594748.6,0.1982,3.492,-0.0132,-16831.5,26130.6,0.951
