日期,是否空仓,活跃品种数,合计手数,AU盈亏,HC盈亏,P盈亏,Y盈亏,保证金_AU,保证金_HC,保证金_P,保证金_Y,账户日盈亏,手续费,账户日收益,合计保证金,持仓_AU,持仓_HC,持仓_P,持仓_Y,操作说明
2024-11-19,False,2,4,0.0,0.0,80.0,300.0,0.0,0.0,26700.800000000003,22556.800000000003,95.0,0.0,9.500000000000018e-05,49257.6,,,空carry 棕榈油2503 1手(空)@9628 / 棕榈油2504 1手(多)@9444 价差=184,多carry 豆油2503 1手(多)@8126 / 豆油2505 1手(空)@7986 价差=140,[P] 空carry 棕榈油2503 1手(空)@9628 / 棕榈油2504 1手(多)@9444 价差=184 z=2.01 | [Y] 多carry 豆油2503 1手(多)@8126 / 豆油2505 1手(空)@7986 价差=140 z=-1.58
2024-11-20,False,1,2,0.0,0.0,120.0,-5.0,0.0,0.0,26516.0,0.0,28.75,5.0,2.8749999999998862e-05,26516.0,,,空carry 棕榈油2503 1手(空)@9558 / 棕榈油2504 1手(多)@9382 价差=176,,[P] 空carry 棕榈油2503 1手(空)@9558 / 棕榈油2504 1手(多)@9382 价差=176 z=1.79
2024-11-21,False,1,2,0.0,0.0,80.0,0.0,0.0,0.0,25418.4,0.0,20.0,0.0,2.000000000000138e-05,25418.4,,,空carry 棕榈油2503 1手(空)@9160 / 棕榈油2504 1手(多)@8996 价差=164,,[P] 空carry 棕榈油2503 1手(空)@9160 / 棕榈油2504 1手(多)@8996 价差=164 z=1.62
2024-11-22,False,3,6,220.0,0.0,-80.0,-225.0,277534.4,0.0,25384.800000000003,21968.800000000003,-21.25,45.0,-2.1249999999978145e-05,324888.0,空carry 黄金2504 1手(空)@629.98 / 黄金2506 1手(多)@631.54 价差=-1.56,,空carry 棕榈油2503 1手(空)@9144 / 棕榈油2504 1手(多)@8988 价差=156,多carry 豆油2503 1手(多)@7918 / 豆油2505 1手(空)@7774 价差=144,[AU] 空carry 黄金2504 1手(空)@629.98 / 黄金2506 1手(多)@631.54 价差=-1.56 z=1.58 | [P] 空carry 棕榈油2503 1手(空)@9144 / 棕榈油2504 1手(多)@8988 价差=156 z=1.41 | [Y] 多carry 豆油2503 1手(多)@7918 / 豆油2505 1手(空)@7774 价差=144 z=-1.19
2024-11-25,False,4,8,20.0,73.0,-120.0,280.0,273649.19999999995,8403.599999999999,25844.0,22206.800000000003,63.25,87.0,6.324925000003308e-05,330103.6,多carry 黄金2504 1手(多)@621.02 / 黄金2506 1手(空)@622.84 价差=-1.82,空carry 热卷2503 1手(空)@3502 / 热卷2504 1手(多)@3501 价差=1,空carry 棕榈油2503 1手(空)@9312 / 棕榈油2504 1手(多)@9148 价差=164,多carry 豆油2503 1手(多)@7992 / 豆油2505 1手(空)@7870 价差=122,[AU] 多carry 黄金2504 1手(多)@621.02 / 黄金2506 1手(空)@622.84 价差=-1.82 z=-0.85 | [HC] 空carry 热卷2503 1手(空)@3502 / 热卷2504 1手(多)@3501 价差=1 z=1.65 | [P] 空carry 棕榈油2503 1手(空)@9312 / 棕榈油2504 1手(多)@9148 价差=164 z=1.46 | [Y] 多carry 豆油2503 1手(多)@7992 / 豆油2505 1手(空)@7870 价差=122 z=-1.93
2024-11-26,False,1,2,-40.0,-7.03,-100.0,-5.0,0.0,0.0,26062.4,0.0,-38.01,52.03,-3.80067499999971e-05,26062.4,,,空carry 棕榈油2503 1手(空)@9396 / 棕榈油2504 1手(多)@9220 价差=176,,[P] 空carry 棕榈油2503 1手(空)@9396 / 棕榈油2504 1手(多)@9220 价差=176 z=1.59
2024-11-27,False,3,6,20.0,0.0,-40.0,-5.0,272443.6,0.0,26490.800000000003,22439.200000000004,-6.25,45.0,-6.250000000012207e-06,321373.6,多carry 黄金2504 1手(多)@618.24 / 黄金2506 1手(空)@620.14 价差=-1.9,,空carry 棕榈油2503 1手(空)@9554 / 棕榈油2504 1手(多)@9368 价差=186,多carry 豆油2503 1手(多)@8076 / 豆油2505 1手(空)@7952 价差=124,[AU] 多carry 黄金2504 1手(多)@618.24 / 黄金2506 1手(空)@620.14 价差=-1.9 z=-1.45 | [P] 空carry 棕榈油2503 1手(空)@9554 / 棕榈油2504 1手(多)@9368 价差=186 z=1.66 | [Y] 多carry 豆油2503 1手(多)@8076 / 豆油2505 1手(空)@7952 价差=124 z=-1.60
2024-11-28,False,3,6,-20.0,0.0,-340.0,-180.0,271013.6,0.0,26507.600000000002,22327.200000000004,-135.0,0.0,-0.0001349999999999772,319848.4,多carry 黄金2504 1手(多)@615.02 / 黄金2506 1手(空)@616.86 价差=-1.84,,空carry 棕榈油2503 1手(空)@9562 / 棕榈油2504 1手(多)@9372 价差=190,多carry 豆油2503 1手(多)@8036 / 豆油2505 1手(空)@7912 价差=124,[AU] 多carry 黄金2504 1手(多)@615.02 / 黄金2506 1手(空)@616.86 价差=-1.84 z=-0.94 | [P] 空carry 棕榈油2503 1手(空)@9562 / 棕榈油2504 1手(多)@9372 价差=190 z=1.66 | [Y] 多carry 豆油2503 1手(多)@8036 / 豆油2505 1手(空)@7912 价差=124 z=-1.46
2024-11-29,False,4,8,-0.0,-27.03,-480.0,200.0,273429.2,8436.0,27199.200000000004,22750.0,-76.76,7.03,-7.67575000000032e-05,331814.4,多carry 黄金2504 1手(多)@620.5 / 黄金2506 1手(空)@622.36 价差=-1.86,空carry 热卷2503 1手(空)@3513 / 热卷2504 1手(多)@3517 价差=-4,空carry 棕榈油2503 1手(空)@9826 / 棕榈油2504 1手(多)@9602 价差=224,多carry 豆油2503 1手(多)@8178 / 豆油2505 1手(空)@8072 价差=106,[AU] 多carry 黄金2504 1手(多)@620.5 / 黄金2506 1手(空)@622.36 价差=-1.86 z=-0.91 | [HC] 空carry 热卷2503 1手(空)@3513 / 热卷2504 1手(多)@3517 价差=-4 z=0.76 | [P] 空carry 棕榈油2503 1手(空)@9826 / 棕榈油2504 1手(多)@9602 价差=224 z=2.05 | [Y] 多carry 豆油2503 1手(多)@8178 / 豆油2505 1手(空)@8072 价差=106 z=-1.95
2024-12-02,False,2,4,-40.0,-7.11,-360.0,-5.0,271070.8,0.0,26356.4,0.0,-103.03,12.11,-0.00010302724999998545,297427.2,多carry 黄金2504 1手(多)@615.14 / 黄金2506 1手(空)@617 价差=-1.86,,空carry 棕榈油2504 1手(空)@9546 / 棕榈油2505 1手(多)@9280 价差=266,,[AU] 多carry 黄金2504 1手(多)@615.14 / 黄金2506 1手(空)@617 价差=-1.86 z=-1.02 | [P] 空carry 棕榈油2504 1手(空)@9546 / 棕榈油2505 1手(多)@9280 价差=266 z=2.70
