日期,era,final盈亏,news门控盈亏,dual盈亏,macro降权门控盈亏,weather_v3代理盈亏,组合_v3盈亏,组合_无天气盈亏,组合日收益_3M,core保证金,新闻可用
2010-09-13,final_only,1883.0,0.0,1883.0,0.0,0.0,1883.0,1883.0,0.0006276666666666667,32746.0,0
2010-09-14,final_only,1682.0,0.0,1682.0,0.0,0.0,1682.0,1682.0,0.0005606666666666667,24978.0,0
2010-09-15,final_only,-705.0,0.0,-705.0,0.0,0.0,-705.0,-705.0,-0.000235,25092.0,0
2010-09-16,final_only,-3574.0,0.0,-3574.0,0.0,0.0,-3574.0,-3574.0,-0.0011913333333333333,71468.0,0
2010-09-17,final_only,3411.0,0.0,3411.0,0.0,0.0,3411.0,3411.0,0.001137,25311.0,0
2010-09-20,final_only,6411.0,0.0,6411.0,0.0,0.0,6411.0,6411.0,0.002137,31000.0,0
2010-09-21,final_only,720.0,0.0,720.0,0.0,0.0,720.0,720.0,0.00024,31652.0,0
2010-09-27,final_only,3120.0,0.0,3120.0,0.0,0.0,3120.0,3120.0,0.00104,18172.0,0
2010-09-28,final_only,-4855.0,0.0,-4855.0,0.0,0.0,-4855.0,-4855.0,-0.0016183333333333334,31999.0,0
2010-09-29,final_only,582.0,0.0,582.0,0.0,0.0,582.0,582.0,0.000194,73925.0,0
2010-09-30,final_only,13315.0,0.0,13315.0,0.0,0.0,13315.0,13315.0,0.004438333333333333,60674.0,0
2010-10-08,final_only,7587.0,0.0,7587.0,0.0,0.0,7587.0,7587.0,0.002529,18614.0,0
2010-10-11,final_only,-1615.0,0.0,-1615.0,0.0,0.0,-1615.0,-1615.0,-0.0005383333333333334,19647.0,0
2010-10-12,final_only,13173.0,0.0,13173.0,0.0,0.0,13173.0,13173.0,0.004391,52107.0,0
2010-10-13,final_only,9270.0,0.0,9270.0,0.0,0.0,9270.0,9270.0,0.00309,54277.0,0
2010-10-14,final_only,-1335.0,0.0,-1335.0,0.0,0.0,-1335.0,-1335.0,-0.000445,31644.0,0
2010-10-15,final_only,-4032.0,0.0,-4032.0,0.0,0.0,-4032.0,-4032.0,-0.001344,31680.0,0
2010-10-18,final_only,1239.0,0.0,1239.0,0.0,0.0,1239.0,1239.0,0.000413,22165.0,0
2010-10-19,final_only,3202.0,0.0,3202.0,0.0,0.0,3202.0,3202.0,0.0010673333333333333,26302.0,0
2010-10-20,final_only,2728.0,0.0,2728.0,0.0,0.0,2728.0,2728.0,0.0009093333333333333,20113.0,0
2010-10-21,final_only,1348.0,0.0,1348.0,0.0,0.0,1348.0,1348.0,0.0004493333333333333,26887.0,0
2010-10-22,final_only,7529.0,0.0,7529.0,0.0,0.0,7529.0,7529.0,0.0025096666666666666,33303.0,0
2010-10-25,final_only,1040.0,0.0,1040.0,0.0,0.0,1040.0,1040.0,0.00034666666666666667,34403.0,0
2010-10-26,final_only,-1600.0,0.0,-1600.0,0.0,0.0,-1600.0,-1600.0,-0.0005333333333333334,34608.0,0
2010-10-27,final_only,4613.0,0.0,4613.0,0.0,0.0,4613.0,4613.0,0.0015376666666666666,27750.0,0
2010-10-28,final_only,-2545.0,0.0,-2545.0,0.0,0.0,-2545.0,-2545.0,-0.0008483333333333333,28414.0,0
2010-10-29,final_only,7279.0,0.0,7279.0,0.0,0.0,7279.0,7279.0,0.0024263333333333333,37322.0,0
2010-11-01,final_only,791.0,0.0,791.0,0.0,0.0,791.0,791.0,0.00026366666666666666,26983.0,0
2010-11-02,final_only,4745.0,0.0,4745.0,0.0,0.0,4745.0,4745.0,0.0015816666666666668,27023.0,0
2010-11-03,final_only,-70.0,0.0,-70.0,0.0,0.0,-70.0,-70.0,-2.3333333333333332e-05,27562.0,0
2010-11-04,final_only,5395.0,0.0,5395.0,0.0,0.0,5395.0,5395.0,0.0017983333333333334,27803.0,0
2010-11-05,final_only,8250.0,0.0,8250.0,0.0,0.0,8250.0,8250.0,0.00275,28871.0,0
2010-11-08,final_only,-2118.0,0.0,-2118.0,0.0,0.0,-2118.0,-2118.0,-0.000706,39970.0,0
2010-11-09,final_only,-3031.0,0.0,-3031.0,0.0,0.0,-3031.0,-3031.0,-0.0010103333333333334,50556.0,0
2010-11-10,final_only,-4750.0,0.0,-4750.0,0.0,0.0,-4750.0,-4750.0,-0.0015833333333333333,41758.0,0
2010-11-11,final_only,1716.0,0.0,1716.0,0.0,0.0,1716.0,1716.0,0.000572,46263.0,0
2010-11-12,final_only,3091.0,0.0,3091.0,0.0,0.0,3091.0,3091.0,0.0010303333333333334,35233.0,0
2010-11-15,final_only,2593.0,0.0,2593.0,0.0,0.0,2593.0,2593.0,0.0008643333333333334,31239.0,0
2010-11-16,final_only,3310.0,0.0,3310.0,0.0,0.0,3310.0,3310.0,0.0011033333333333333,30673.0,0
2010-11-17,final_only,-112.0,0.0,-112.0,0.0,0.0,-112.0,-112.0,-3.733333333333333e-05,49106.0,0
2010-11-18,final_only,-951.0,0.0,-951.0,0.0,0.0,-951.0,-951.0,-0.000317,21402.0,0
2010-11-19,final_only,1934.0,0.0,1934.0,0.0,0.0,1934.0,1934.0,0.0006446666666666667,19234.0,0
2010-11-22,final_only,3530.0,0.0,3530.0,0.0,0.0,3530.0,3530.0,0.0011766666666666666,18974.0,0
2010-11-23,final_only,-3844.0,0.0,-3844.0,0.0,0.0,-3844.0,-3844.0,-0.0012813333333333333,33562.0,0
2010-11-24,final_only,1336.0,0.0,1336.0,0.0,0.0,1336.0,1336.0,0.00044533333333333333,18740.0,0
2010-11-25,final_only,3461.0,0.0,3461.0,0.0,0.0,3461.0,3461.0,0.0011536666666666668,33870.0,0
2010-11-26,final_only,-4345.0,0.0,-4345.0,0.0,0.0,-4345.0,-4345.0,-0.0014483333333333334,33423.0,0
2010-11-29,final_only,-265.0,0.0,-265.0,0.0,0.0,-265.0,-265.0,-8.833333333333333e-05,34027.0,0
2010-11-30,final_only,-906.0,0.0,-906.0,0.0,0.0,-906.0,-906.0,-0.000302,22812.0,0
2010-12-01,final_only,-3680.0,0.0,-3680.0,0.0,0.0,-3680.0,-3680.0,-0.0012266666666666667,23128.0,0
2010-12-02,final_only,21.0,0.0,21.0,0.0,0.0,21.0,21.0,7e-06,19177.0,0
2010-12-03,final_only,-422.0,0.0,-422.0,0.0,0.0,-422.0,-422.0,-0.00014066666666666668,21959.0,0
2010-12-06,final_only,-29.0,0.0,-29.0,0.0,0.0,-29.0,-29.0,-9.666666666666667e-06,27758.0,0
2010-12-07,final_only,436.0,0.0,436.0,0.0,0.0,436.0,436.0,0.00014533333333333333,23153.0,0
