strategy,year,days,pnl,ret,sharpe,max_dd,worst_day,best_day,avg_abs_pnl,active_frac,fee
macro_full_derated_3M,2021,243,-5226.8,-0.0017,-0.2,-0.0085,-7991.5,5210.7,1121.9,0.72,
macro_full_derated_3M,2022,242,9319.8,0.0031,0.362,-0.0128,-9041.8,6008.4,1038.5,0.715,
macro_full_derated_3M,2023,242,27832.9,0.0093,1.443,-0.0039,-5128.8,8503.3,636.9,0.488,
macro_full_derated_3M,2024,242,101465.4,0.0338,2.295,-0.0104,-12105.2,10469.8,1821.5,0.752,
macro_full_derated_3M,2025,243,137026.5,0.0457,3.267,-0.0035,-5680.0,27070.5,807.2,0.255,
macro_full_derated_3M,2026,169,21578.1,0.0072,0.625,-0.0069,-16934.8,16198.7,1023.2,0.195,
macro_full_derated_3M,ALL,2111,365989.8,0.122,1.318,-0.0128,-16934.8,27070.5,942.9,0.538,
weather_v3_full_proxy,2018,243,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
weather_v3_full_proxy,2019,244,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
weather_v3_full_proxy,2020,243,31912.3,0.0106,1.397,-0.0042,-5562.1,5397.9,1006.4,0.811,
weather_v3_full_proxy,2021,243,50637.3,0.0169,1.502,-0.0084,-12716.1,10828.2,1300.5,0.823,
weather_v3_full_proxy,2022,242,65528.6,0.0218,1.896,-0.0046,-11140.0,12367.2,1325.6,0.798,
weather_v3_full_proxy,2023,242,8327.5,0.0028,0.294,-0.0097,-7279.6,6703.6,1269.6,0.88,
weather_v3_full_proxy,2024,242,107828.7,0.0359,3.522,-0.0052,-9349.5,6861.7,1468.4,0.971,
weather_v3_full_proxy,2025,243,8960.4,0.003,0.419,-0.0073,-6004.2,6272.0,898.4,0.86,
weather_v3_full_proxy,2026,169,36701.7,0.0122,2.668,-0.004,-3331.3,4754.0,966.0,0.888,
weather_v3_full_proxy,ALL,2111,309896.6,0.1033,1.434,-0.0097,-12716.1,12367.2,912.1,0.662,
