日期,final盈亏,news门控盈亏,dual盈亏,macro降权门控盈亏,weather_v3代理盈亏,组合_v3盈亏,组合日收益_3M,dual保证金
2024-03-08,-3149.6690000000026,0.0,-3149.6690000000026,1382.3912400367444,4525.44920127035,2758.171441307092,0.0009193904804356974,71326.5
2024-03-11,-15.860999999996078,0.0,-15.860999999996078,-1112.6283227198096,872.9967704921501,-255.49255222765555,-8.516418407588519e-05,38844.7
2024-03-12,-149.39200000000238,0.0,-149.39200000000238,-713.8745937824654,949.2291838988001,85.96259011633242,2.865419670544414e-05,57816.4
2024-03-13,-1417.9080000000015,0.0,-1417.9080000000015,-13.714285714285715,4282.2793503406,2850.6570646263126,0.0009502190215421042,53011.0
2024-03-14,1339.0439999999976,0.0,1339.0439999999976,0.0,1786.1024890643,3125.1464890642974,0.0010417154963547658,66639.1
2024-03-15,2021.2399999999768,0.0,2021.2399999999768,0.0,285.3025444213,2306.542544421277,0.0007688475148070923,58856.00000000001
2024-03-18,-934.2999999999907,0.0,-934.2999999999907,0.0,-1345.7067769609498,-2280.0067769609404,-0.0007600022589869802,62406.4
2024-03-19,-165.10999999999228,0.0,-165.10999999999228,0.0,0.0,-165.10999999999228,-5.503666666666409e-05,69031.15
2024-03-20,-1417.794999999997,0.0,-1417.794999999997,6776.617717442609,297.79644817585,5656.619165618462,0.0018855397218728207,34141.0
2024-03-21,-4431.741,0.0,-4431.741,-2173.5125719360167,134.24021336705002,-6471.013358568966,-0.002157004452856322,89237.65
2024-03-22,50.98600000000535,0.0,50.98600000000535,726.1077568304951,373.6476746429,1150.7414314734003,0.0003835804771578001,20107.9
2024-03-25,379.7663999999992,0.0,379.7663999999992,534.4520581632406,1794.03670491795,2708.2551630811895,0.0009027517210270632,24160.1
2024-03-26,1054.6583999999982,0.0,1054.6583999999982,1532.6705167527516,1328.0945597175,3915.42347647025,0.0013051411588234168,34250.15
2024-03-27,239.66309999999743,0.0,239.66309999999743,2296.5517068251074,-232.00351542820002,2304.211291396905,0.000768070430465635,23803.3
2024-03-28,315.6652000000074,0.0,315.6652000000074,7732.814942892866,2489.537304554,10538.017447446873,0.003512672482482291,28765.5
2024-03-29,670.9085999999932,484.5352500000172,1155.4438500000103,1874.0370875798333,6225.6566692964,9255.137606876244,0.003085045868958748,107099.0
2024-04-01,-987.224000000002,2275.0000000000077,1287.7760000000053,561.855195306843,360.56278035445,2210.1939756612983,0.0007367313252204327,107669.5
2024-04-02,774.7657000000072,-1449.9999999999968,-675.2342999999896,4565.795841734952,-1133.445497466,2757.1160442689625,0.0009190386814229875,104878.0
2024-04-03,-142.21199999999203,-1799.999999999984,-1942.211999999976,9063.533175831053,-840.5098704366,6280.811305394477,0.0020936037684648255,152523.5
2024-04-08,1735.5809999999956,2574.999999999985,4310.580999999981,1450.9490471946992,-823.8300638568501,4937.69998333783,0.0016458999944459435,145468.5
2024-04-09,14028.839999999997,-2225.000000000004,11803.839999999993,1314.3113802925623,-3594.035019284,9524.116361008555,0.0031747054536695185,147129.25
2024-04-10,-19.172,0.0,-19.172,-1245.1726475570863,-1960.56173653355,-3224.9063840906365,-0.0010749687946968788,0.0
2024-04-11,0.0,0.0,0.0,5234.921234181663,-350.08968925325,4884.831544928413,0.0016282771816428043,0.0
2024-04-12,0.0,0.0,0.0,-2317.6471816490184,592.46990701855,-1725.1772746304684,-0.0005750590915434895,0.0
2024-04-15,0.0,0.0,0.0,1046.312131699181,665.2789450344501,1711.591076733631,0.0005705303589112104,0.0
2024-04-16,0.0,0.0,0.0,308.3272540581899,-610.0218867648,-301.6946327066101,-0.00010056487756887002,0.0
2024-04-17,0.0,0.0,0.0,-831.4837856846817,-4095.1653396618503,-4926.649125346532,-0.0016422163751155106,0.0
2024-04-18,0.0,0.0,0.0,978.1047595507015,2261.2983643050497,3239.4031238557513,0.0010798010412852504,0.0
